course_code,name,units,min_units,max_units,offered_qatar,offered_pitts,short_name,description,dep_code,prereqs_text
76-373,Argument,9,9,9,True,True,ARGUMENT,"This course introduces the fundamentals of argumentation theory and offers guided practice in analyzing and producing arguments. Through analysis, we will learn what an argument is, how to identify one, and what the names and functions of a variety of argument features are. We will also explore the production of argument by pursuing the questions What are my argumentative goals How do I build a theory of my audience What means of persuasion are available for me to achieve my goals And how should I order the contents of my argument To answer these questions, we will explore argument in a variety of genres including visuals, opeds, presidential speeches, and congressional testimonies.",76,(76-101 [] at least D) or (76-102 [] at least D) or ((76-106 [] at least D) and (76-107 [] at least D)) or ((76-107 [] at least D) and (76-108 [] at least D)) or ((76-106 [] at least D) and (76-108 [] at least D))
84-104,Decision Processes in American Political Institutions,9,9,9,True,False,DEC PROC AMER POL IN,"This is an interdisciplinary introduction to the study of politics and government in the United States. It familiarizes the student with the basic structures and processes of American government, but moves beyond the purely descriptive into the realm of the analytical. The main theoretical tools are spatial models of political decisionmaking, and models of collective action problems. The position taken in this course is that understanding American philosophical ideas about authority, power, and freedom is as central to demystifying the U.S. form of democracy as is understanding how decisionmaking institutions function. Thus, on one side, this course looks at how American political thought is infused into political institutions and society. On the other side, it investigates institutional arrangements using rationalistic theories. In addition, scientific writings at the intersection of psychology and economics are used to probe the possibility of gaining explanatory leverage on U.S. politics from the perspective of behavioral decisionmaking theories.",84,
76-236,CMU Prison Education Project:,9,9,9,True,False,CMU PRISON EDUCATION,"We read newspapers for reports about what is happening in our world. But we also read fictionnovels and storiesthat tell us about our world, and alternative worlds. In this course well read classic American fiction such as Rip van Winkle and by Rebecca Harding Davis, Melville, and Faulkner, as well as more contemporary fiction by Octavia Butler, Colson Whitehead, and others, and consider about what they say about their culture and society. This course is based on the InsideOut Prison Exchange Program, and will be taught at SCI Somerset, a nearby prison. For more information about InsideOut, see httpswww.insideoutcenter.orgprospectivestudents.htmlThe course will include both outside students from CMU, as well as inside students at SCI Somerset. The course focuses on active participation and discussion between students. The Somerset class runs from 230510 on Friday afternoons. CMU students will travel together by bus, leaving our campus at 1230 sharp and return by around 715 pm. To enroll, students in the course will submit a brief application and interview with faculty. The course is part of an exciting new initiative by CMU to bring education into Americas prisons.",76,
79-432,Equity & Justice in Modern Languages,9,9,9,True,False,EQUITY & JUSTICE ML,"S23 This course has the dual purpose of examining important human rights issues in Latin America and questioning the role of film in making visible, critiquing, or even sustaining the structures that lead to human rights violations. We will study specific human rights issues tackled by filmmakers in Latin America, such as cultural rights, gender and sexuality rights, economic rights, environmental issues, and war and state terror. Furthermore, we will discuss specific film schools and movements that developed to address human rights and social justice issues in diverse Latin American contexts. Finally, we will look at how Latin American films work the international human rights film festival circuit, and the ethical and practical implications of filming local human rights issues for international audiences. All coursework for this section in English.",79,
09-209,Kitchen Chemistry Sessions,3,3,3,True,False,KITCHEN CHMSTY SESSN,Ever wanted to boil water in ice Cook an egg so the yolk is set but the white still runny Lick a lemon or drink vinegar but have it tastesweet Make caviar from fruit juice and noodles from yogurt Explore the science of molecular gastronomy through the lectures and demonstrations that reveal the chemistry and biochemistry of food ingredients and their preparation. Then use a kitchen as your laboratory to test hypotheses and delve into molecular cooking  you may just get to eat your lab results.  Students enrolling in this course are assumed to have a college level background in chemistry including introductory organic chemistry.  Students without a solid chemistry background should take the lower level 09109. 3 hrs. lec. and lab,9,(09-219 [] at least D) or (09-217 [] at least D)
85-104,Psychopathology,9,9,9,True,True,PSYCHOPATHOLOGY,"This course provides an introduction to the science and practice of psychopathology. Students will examine definitions of psychopathology in a historical and contemporary context, explore issues relevant to diagnosis and patient care, and be introduced to various diagnostic categories for psychological disorders. Students will also learn about potential determinants of and treatments for psychological disorders in the context of major theories and empirical findings in the field. Emphasis will be placed on three major paradigms in psychopathology genetics, neuroscience, and cognitive behavioral. An assigned memoir, case studies, and short video clips will be used to illustrate the human side of mental illness.",85,
17-450,Crafting Software,12,12,12,True,False,CRAFTING SOFTWARE,"Do you use programming to solve problems in your field of study Do you know enough to be dangerous, but wish you could be proud of your code This course aims to provide students with sufficient knowledge and skills to use programming as part of their work. In this class, you will learn how to identify and find problems in your code. You will learn to read, parse, organize, and transform data. We will teach you to write code collaboratively and refine your programs so others can use them.The course will be a mixture of lecture and guided exercise with a recitation focused on hands on instruction.  In this course, students are expected to have been exposed to some basic programming concepts, such as variables, ifstatements, loops, and arrays.  However, students are not expected to have extensive programming experience. This course is not appropriate for students that have completed more than two courses involving programming. We expect students in this class to have diverse backgrounds and experience. Some students will be selftaught, while others will have taken a programming course such as 02201, 15110, 95898, or the librarys Software Carpentry workshop. If you have questions about your background and the fit for this class, please dont hesitate to reach out to the instructors.",17,
69-195,Emergency Medical Technician 1,12,12,12,True,False,EMERG MEDCL TECH II,"The Emergency Medical Technician provides students with a basic knowledge of Emergency Medicine, and enables students to take the National Registry EMT Certification exam and become certified at the state and national level. This course is crossenrolled through the Community College of Allegheny County CCAC and will require registration with CCAC on the first day of class. This will require a fee, which has yet to be determined. Due to state laws and classroom hours requirements, all lectures are mandatory with very few exceptions. This class will meet on around 2 Saturdays, which will be announced on the first day of class. This class is also offered in two parts. The first part 69195 is offered during mini2 and the second part 69195 is offered during the full spring semester. You must attend both parts in order to be eligible to take the National Registry EMT Certification exam. Please email infocmuems.org with any questions you might have.",69,
73-347,Game Theory Applications for Economics and Business,9,9,9,True,True,GAMETHRY APP ECO BUS,"An introduction to the theory of noncooperative games with an emphasis on economic applications. After an initial examination of twoperson, zerosum games, the notion of a Nash equilibrium in an nperson, noncooperative game is considered. Existence of and refinements to the equilibrium concept are discussed in the context of both normal and extensive form games. Economic applications may include various topics, including Cournot and Bertrand oligopoly models, general competitive exchange equilibrium, and free rider problems.  Lecture, 3 hours. Minimum grade of C required in all economics prerequisite courses.",73,
99-241,Revolutions of Circularity,9,9,9,True,False,REVLUTNS CIRCULARITY,"In this course we will investigate how the apparently simple concept of circularity both in stillness and in motion has accreted meaning. Starting with the circle as presented in early geometry, we will encompass circularity in ancient and Renaissance astronomy as well as classical physics. We will also discuss appearances of the circle in literature, philosophy, and art since our study will reveal connections such as how Aristotles views on nature influenced Ptolemy and an understanding of our place in relation to the world, including central imagery in the poetry of Donne. As we demonstrate proofs and analyze texts, circularity will emerge not only as a device through which intellectual revolutions have occurred, but also as an object that has itself been transformed over the centuries.",99,
80-130,Introduction to Ethics,9,9,9,True,True,INTRO TO ETHICS,"Philosophical ethics, or moral philosophy, covers a lot of ground. It asks and tries to answer questions like Whats good in life What matters What should I and others do How should I and others act What kinds of things out there must be treated ethically Do we have moral duties to at least some nonhuman animals Is morality subjective Are there actually any objective moral truths Morally speaking, what if anything is the difference between killing someone, and simply letting them die In trying to answer these questions and others, well engage in some wonderfully weird thought experiments, class discussions, smaller group discussions, debates, etc. Well study and critique several moral theories which try to explain and help guide our moral judgments, and well try to apply these theories to reallife moral controversies. Past classes covered topics including drug prohibition, abortion, euthanasia, and physicianassisted suicide. This is an introductory philosophy class, so youll be learning how to read, critique, do, and write philosophy generally, not just ethics. Considerable time and effort, both in lectures and in recitations, will be spent helping you learn to recognize and evaluate philosophical arguments, as well as empowering you to create, improve, and defend your own arguments in class assignments.",80,
03-439,Introduction to Biophysics,10,10,10,True,False,INTRO TO BIOPHYSICS,"Biological physics, or the physics of living systems, is an exciting interdisciplinary frontier of physics that aims to understand the phenomenon of life using concepts and tools from Physics. This intermediate level course will introduce the general concepts and principles underpinning the physical behavior of living systems, from the dynamics of proteins and molecules to collective behavior of living cells and organisms. The course will develop key physics concepts that are most vital to biological processes, including energy conversion, information transfer, mechanics of movement, statistical phenomena, and fluid flow. We will apply these physics concepts to demonstrate how biological systems function, build simplified mathematical models to predict behavior, and use experimental data to inform and test models. The integration of biological phenomena, physical concepts, mathematical modeling, and analysis of experimental data represents an entirely new mode of learning, based on strategies adopted in research. These strategies will break traditional disciplinary barriers between physics and biology. The students will be expected to gain an intuitive grasp of ways to frame the physical problem, identify appropriate theoretical frameworks, analyze experimental data, and ways to generalize and to understand the dependence of biophysical phenomenon on time and length scales. No prior knowledge of biology is expected. This class is offered in Fall of even years e.g. Fall 22, 24, etc.",3,((03-121 [] at least D) or (03-151 [] at least D)) and ((33-142 [] at least D) or (33-112 [] at least D) or (33-132 [] at least D) or (33-122 [] at least D) or (33-152 [] at least D) or (33-107 [] at least D))
98-304,Student Taught Courses (StuCo): Game Theory Across Disciplines,3,3,3,True,False,STUCO: GAMES BEYOND,"Game Theory is the mathematical study of strategic decisionmaking, and it has been found to be a toolbox for studying topics across a wide variety of disciplines. This course is intended to introduce models and applications of Game Theory within a diverse set of fields, including but not limited to  Psychology, Operations Research, Physics, Machine Learning, and International  Relations. This course will analyze results in Game Theory that broke ground in  the 20th century and will study new frontiers of Game Theory within the 21st  century. Topics discussed in the course will include but are not limited to  KLevel Learning, Matching Problems, The PrincipalAgent Model, Evolutionary  Game Theory, Quantum Games, MultiAgent Reinforcement Learning, and Global  Games. No previous experience with Game Theory is required, as we will introduce  rational Game Theory within the first few weeks of the course. While no previous  background in mathematics is required, some familiarity with calculus is  preferred.",98,
76-365,Beginning Poetry Workshop,9,9,9,True,False,BEG POETRY WKSHP,"In this workshop, well explore the building blocks of poetry, as participants develop their eye and ear as poetry readers, and practice different poetic techniques in their writing. Students will read the work of contemporary poets,  attend poetry readings, respond to writing prompts, and read and respond to each others work. Through our reading, discussions, and creative exercises, well examine the role of line, line break, shape, sound, silence, rhythm and form in poetry, with an eye toward how craft choices communicate on the page and how they reflect the world of the poet.",76,((76-102 [] at least D) or (76-101 [] at least D) or (76-106 [] at least D) or (76-107 [] at least D) or (76-108 [] at least D)) and (76-265 [] at least B)
82-355,Tpcs in Hispanic Std: Beyond the Film Screen: The Hispanic World Through Film,9,9,9,False,True,TPCS HISPANIC STDIES,"This course is offered only at Carnegie Mellons campus in Qatar.    The purpose of this course is to explore Hispanic culture and history through contemporary films in Spanish. Undoubtedly, films are a rich source of meaningful cultural information that can provide the audience with an understanding of a countrys culture history, politics, social problems, etc. through their discussion and analysis. Movies not only represent reality, but they do it from a particular position. The images produced in films are charged with political interests that reproduce or challenge established beliefs and views. Films offer different representations of reality as well as different ways of relating to it Achugar, 2008. We will view and analyze a selected group of films portraying four main issues in Hispanic history and society memory and oblivion, immigration and exile, marginalized identities throughout history, and the Hispanic world in globalization. An understanding of the sociopolitical context that these films aim to portray through indepth reading, analysis, discussion, and investigation will provide a thorough understanding of the complexities of various historic events, and opportunities and challenges faced by the Hispanic world. Throughout the semester, we will practice the four language skills listening, speaking, reading, and writing as we continue to build on vocabulary and review grammar points based on the films viewed, the texts read, and the topics discussed.",82,82-242 [] at least D
98-187,Student Taught Courses (StuCo): Call of Duty: Zombies WAW-BO3,3,3,3,True,False,STUCO: COD ZOMB WAW,"Call of Duty Zombies is a spinoff game of the Call of Duty series licensed by Activision based on the widely popular Nazi Zombies mode of Call of Duty World at War released back in 2008 and developed by Treyarch. Originally, the game mode was just an experimental test featuring roundbased survival gameplay. Due to its first success, other maps were created for the game, and years later the zombies mode was featured in subsequent sequels, Call of Duty Black Ops 1, 2, 3, 4, Advanced Warfare, Infinite Warfare, WWII, and the most recent release this past year, Call of Duty Black Ops Cold War.  This course will feature gameplay, controls, perks, characters, maps, weapons, story, trivia, and much more A quick note that due to the increasing amount of content over the years, in addition to the spinoff zombies mode developed by SledgeHammer Games and Infinity Ward and due to their low reception, this course will only be able to study and focus on Call of Duty World at War and Black Ops 1, 2, and 3 due to the limited timeframe of the semester schedule.",98,
70-437,Strategic Management and Innovation,9,9,9,True,True,STR MGMT & INNOV,"This course focuses on how organizations deliver value in changing business environments, using analytical techniques to evaluate business situations and develop strategies that improve organizational performance. By focusing on the organizational perspective, you will develop practical skills in evaluating and designing ways for firms to achieve key strategic outcomes like growth and innovation, which determine the firms chances of success in dynamic environments. This course is particularly useful if you are interested in careers such as consulting, business development, investment banking, private equity, entrepreneurship, or simply want a better understanding of how their firm can develop a more innovative outlook. This course may use thirdparty course material that is not available for individual purchase from the publisher.   If so, the thirdparty course material will be secured and provided by the Tepper School to students enrolled in the course, and students enrolled in the course will be required to pay to the University the associated additional course materials fee for the thirdparty course material provided.   The amount of the course materials fee is dependent on the Universitys cost of the particular materials provided, and typically ranges from 13 to 75.",70,(76-101 [] at least D) or (76-102 [] at least D) or ((76-106 [] at least D) and (76-107 [] at least D)) or ((76-108 [] at least D) and (76-106 [] at least D)) or ((76-108 [] at least D) and (76-107 [] at least D))
70-122,Introduction to Accounting,9,9,9,True,True,INTRO TO ACCOUNTING,"This course provides the knowledge and skills necessary for the student to understand financial statements and financial records and to make use of the information for management and investment decisions. Topics include an overview of financial statements and business decisions the balance sheet, the income statement, and the cash flow statement sales revenue, receivables, and cash cost of goods sold and inventory longlived assets and depreciation, and amortization current and longterm liabilities owners equity investments in other corporations an introduction to financial statement analysis and international issues dealing with financial statements. This course may use thirdparty course material that is not available for individual purchase from the publisher.   If so, the thirdparty course material will be secured and provided by the Tepper School to students enrolled in the course, and students enrolled in the course will be required to pay to the University the associated additional course materials fee for the thirdparty course material provided.   The amount of the course materials fee is dependent on the Universitys cost of the particular materials provided, and typically ranges from 13 to 75.",70,
98-168,StuCo: Coping Mechanisms,3,3,3,False,True,STUCO: COPING MECHAN,"The course will be mainly discussion based. It will cover how students can develop coping strategies and mechanisms that can help and aid them in their life professional and personal life, some psychology topics will be discussed along with those strategies and studies about those specific topics will be presented to students. Activities will be done in classes such as Organizational Games, Art Sessions, and Game Night to let students benefit while learning about the topics and learn how certain coping mechanism topics are related to those activities.",98,
51-215,Making Short Films,3,3,3,False,True,MAKING SHORT FILMS,"The objective of this course is to provide students with a practical, technical and theoretical foundation in video work. Students leaving this class will have gained knowledge of developing a moving picture from start to finish. Students will learn storyboard, plan, production, and postproduction video. Equally importantly students will start to develop their own visual aesthetics in the creation of 1 short moving pictures. The primary software for this course is Adobe Photoshop, with which students will explore construction, combination, manipulation, input, and output of video as a means of narrative creation. This Micro course will run between 56 weeks. The instructor will fly into Doha for a short period of facetoface classes, centered around a Saturday. Enrolled students should expect two 90minute facetoface classes during the week before or after this Saturday date, as well as four 90minute evening 6730 pm video classes over the duration of the Micro course typically two before the campus visit, and two after, although instructors can change this. Specific dates will be confirmed in the syllabus closer to fall semester.",51,
