enrollment_id,class,enrollment_count,department,section,offering_id
09-105_F20_4_3_QCS,,1,QCS,3,
09-105_F20_1_W_QBS,,15,QBS,W,
09-105_F20_2_W_QCS,,1,QCS,W,
09-105_F20_4_W_QCS,,1,QCS,W,
09-217_F20_2_W_QBS,,13,QBS,W,
09-217_F20_2_W_QCS,,1,QCS,W,
15-110_F20_4_W_QBA,,2,QBA,W,
15-110_F20_5_W_QBA,,1,QBA,W,
15-110_F20_1_W_QCS,,2,QCS,W,
15-110_F20_1_W_QIS,,28,QIS,W,
15-110_F20_2_W_QIS,,1,QIS,W,
15-112_F20_2_W_QBA,,1,QBA,W,
15-112_F20_3_W_QBA,,1,QBA,W,
15-112_F20_2_W_QBS,,1,QBS,W,
15-112_F20_1_W_QCS,,25,QCS,W,
15-112_F20_2_W_QIS,,2,QIS,W,
15-112_F20_0_W_SPC,,2,SPC,W,
15-121_F20_3_2_QBA,,1,QBA,2,
15-121_F20_5_2_QBA,,1,QBA,2,
15-121_F20_3_2_QBS,,1,QBS,2,
15-121_F20_3_2_QCS,,1,QCS,2,
15-121_F20_1_2_QIS,,1,QIS,2,
15-121_F20_2_2_QIS,,18,QIS,2,
15-121_F20_3_2_QIS,,10,QIS,2,
15-121_F20_4_2_QIS,,2,QIS,2,
15-121_F20_5_2_QIS,,2,QIS,2,
15-121_F20_3_W_QBA,,1,QBA,W,
15-121_F20_5_W_QBA,,1,QBA,W,
15-121_F20_3_W_QBS,,1,QBS,W,
15-121_F20_3_W_QCS,,1,QCS,W,
15-121_F20_1_W_QIS,,1,QIS,W,
15-121_F20_2_W_QIS,,18,QIS,W,
15-121_F20_3_W_QIS,,10,QIS,W,
15-121_F20_4_W_QIS,,2,QIS,W,
15-121_F20_5_W_QIS,,2,QIS,W,
15-150_F20_2_3_QCS,,21,QCS,3,
15-150_F20_3_3_QCS,,5,QCS,3,
15-150_F20_2_W_QCS,,21,QCS,W,
15-150_F20_3_W_QCS,,5,QCS,W,
15-213_F20_5_3_QBS,,1,QBS,3,
15-213_F20_2_3_QCS,,13,QCS,3,
15-213_F20_3_3_QCS,,10,QCS,3,
15-213_F20_5_W_QBS,,1,QBS,W,
15-213_F20_2_W_QCS,,13,QCS,W,
15-213_F20_3_W_QCS,,10,QCS,W,
15-281_F20_3_W_QCS,,2,QCS,W,
15-281_F20_4_W_QCS,,2,QCS,W,
15-295_F20_2_W_QCS,,1,QCS,W,
15-295_F20_3_W_QCS,,1,QCS,W,
15-295_F20_4_W_QCS,,1,QCS,W,
15-317_F20_4_W_QBS,,1,QBS,W,
15-317_F20_5_W_QBS,,1,QBS,W,
15-317_F20_3_W_QCS,,5,QCS,W,
15-317_F20_4_W_QCS,,2,QCS,W,
15-317_F20_5_W_QIS,,1,QIS,W,
15-440_F20_3_2_QCS,,3,QCS,2,
15-440_F20_4_2_QCS,,6,QCS,2,
15-440_F20_5_2_QCS,,4,QCS,2,
15-440_F20_3_W_QCS,,3,QCS,W,
15-440_F20_4_W_QCS,,6,QCS,W,
15-440_F20_5_W_QCS,,4,QCS,W,
15-451_F20_5_2_QBS,,1,QBS,2,
15-451_F20_3_2_QCS,,9,QCS,2,
15-451_F20_4_2_QCS,,4,QCS,2,
15-451_F20_5_2_QCS,,2,QCS,2,
15-451_F20_5_2_QIS,,1,QIS,2,
15-451_F20_5_W_QBS,,1,QBS,W,
15-451_F20_3_W_QCS,,9,QCS,W,
15-451_F20_4_W_QCS,,4,QCS,W,
15-451_F20_5_W_QCS,,2,QCS,W,
15-451_F20_5_W_QIS,,1,QIS,W,
15-591_F20_2_W_QCS,,1,QCS,W,
15-591_F20_3_X_QCS,,1,QCS,X,
15-591_F20_2_Y_QCS,,1,QCS,Y,
17-313_F20_2_2_HSS,,1,HSS,2,
17-313_F20_5_2_QBS,,1,QBS,2,
17-313_F20_2_2_QCS,,1,QCS,2,
17-313_F20_3_2_QCS,,2,QCS,2,
17-313_F20_4_2_QCS,,1,QCS,2,
17-313_F20_3_2_QIS,,1,QIS,2,
17-313_F20_4_2_QIS,,3,QIS,2,
17-313_F20_2_W_HSS,,1,HSS,W,
17-313_F20_5_W_QBS,,1,QBS,W,
17-313_F20_2_W_QCS,,1,QCS,W,
17-313_F20_3_W_QCS,,2,QCS,W,
17-313_F20_4_W_QCS,,1,QCS,W,
17-313_F20_3_W_QIS,,1,QIS,W,
17-313_F20_4_W_QIS,,3,QIS,W,
17-726_F20_10_W2_ICT,,1,ICT,W2,
17-726_F20_2_W2_QBS,,1,QBS,W2,
17-726_F20_3_W2_QCS,,1,QCS,W2,
17-726_F20_4_W2_QIS,,1,QIS,W2,
21-111_F20_1_W_QBA,,38,QBA,W,
21-111_F20_1_W_QBS,,1,QBS,W,
21-111_F20_2_W_QBS,,1,QBS,W,
21-111_F20_3_W_QBS,,1,QBS,W,
21-111_F20_1_W_QIS,,1,QIS,W,
21-111_F20_1_X_QBA,,4,QBA,X,
21-111_F20_1_X_QIS,,22,QIS,X,
21-120_F20_1_W_QBA,,1,QBA,W,
21-120_F20_2_W_QBA,,1,QBA,W,
21-120_F20_1_W_QBS,,15,QBS,W,
21-120_F20_5_W_QBS,,1,QBS,W,
21-120_F20_1_W_QCS,,23,QCS,W,
21-120_F20_2_W_QIS,,1,QIS,W,
21-120_F20_5_W_QIS,,1,QIS,W,
21-124_F20_2_W_QBS,,11,QBS,W,
21-124_F20_3_W_QBS,,2,QBS,W,
21-127_F20_2_W_HSS,,1,HSS,W,
21-127_F20_2_W_QBS,,3,QBS,W,
21-127_F20_1_W_QCS,,22,QCS,W,
21-127_F20_2_W_QCS,,1,QCS,W,
21-241_F20_2_6_QBA,,1,QBA,6,
21-241_F20_1_6_QCS,,1,QCS,6,
21-241_F20_2_6_QCS,,21,QCS,6,
21-241_F20_0_6_SPC,,1,SPC,6,
21-241_F20_2_W_QBA,,1,QBA,W,
21-241_F20_1_W_QCS,,1,QCS,W,
21-241_F20_2_W_QCS,,21,QCS,W,
21-241_F20_0_W_SPC,,1,SPC,W,
21-256_F20_2_W_HSS,,1,HSS,W,
21-256_F20_1_W_QBA,,7,QBA,W,
21-256_F20_2_W_QBA,,28,QBA,W,
21-256_F20_4_W_QBA,,1,QBA,W,
21-256_F20_5_W_QBA,,1,QBA,W,
21-256_F20_2_W_QIS,,3,QIS,W,
21-256_F20_3_W_QIS,,1,QIS,W,
21-295_F20_2_W_QCS,,1,QCS,W,
21-295_F20_4_W_QCS,,1,QCS,W,
21-301_F20_5_W_QCS,,1,QCS,W,
21-301_F20_5_W_QIS,,1,QIS,W,
33-121_F20_2_W_QBS,,14,QBS,W,
33-121_F20_2_W_QCS,,9,QCS,W,
33-121_F20_3_W_QCS,,5,QCS,W,
33-124_F20_2_W_QBA,,5,QBA,W,
33-124_F20_4_W_QBA,,4,QBA,W,
33-124_F20_4_W_QBS,,1,QBS,W,
33-124_F20_2_W_QCS,,4,QCS,W,
33-124_F20_4_W_QCS,,1,QCS,W,
33-124_F20_2_W_QIS,,3,QIS,W,
33-124_F20_3_W_QIS,,4,QIS,W,
33-124_F20_4_W_QIS,,4,QIS,W,
33-124_F20_5_W_QIS,,1,QIS,W,
36-202_F20_3_W_QBA,,3,QBA,W,
36-202_F20_3_W_QCS,,1,QCS,W,
36-202_F20_4_W_QCS,,2,QCS,W,
36-202_F20_3_W_QIS,,8,QIS,W,
36-202_F20_4_W_QIS,,5,QIS,W,
36-202_F20_5_W_QIS,,1,QIS,W,
38-101_F20_1_W_QBS,,17,QBS,W,
38-101_F20_2_W_QBS,,1,QBS,W,
38-101_F20_3_W_QBS,,1,QBS,W,
38-101_F20_2_W_QCS,,1,QCS,W,
38-110_F20_2_W_QBS,,1,QBS,W,
38-110_F20_3_W_QBS,,3,QBS,W,
38-110_F20_4_W_QBS,,6,QBS,W,
38-220_F20_3_W_QBS,,1,QBS,W,
38-220_F20_4_W_QBS,,10,QBS,W,
38-330_F20_4_W1_MSC,,1,MSC,W1,
38-330_F20_2_W1_QBS,,1,QBS,W1,
38-330_F20_3_W1_QBS,,17,QBS,W1,
38-330_F20_4_W1_QBS,,1,QBS,W1,
38-430_F20_3_W2_QBS,,1,QBS,W2,
38-430_F20_4_W2_QBS,,14,QBS,W2,
51-217_F20_2_W2_QBA,,2,QBA,W2,
51-217_F20_4_W2_QBA,,3,QBA,W2,
51-217_F20_3_W2_QBS,,2,QBS,W2,
51-217_F20_4_W2_QBS,,3,QBS,W2,
51-217_F20_5_W2_QBS,,1,QBS,W2,
51-217_F20_3_W2_QIS,,5,QIS,W2,
51-217_F20_4_W2_QIS,,6,QIS,W2,
51-273_F20_2_W2_QBA,,1,QBA,W2,
51-273_F20_4_W2_QBA,,1,QBA,W2,
51-273_F20_3_W2_QBS,,1,QBS,W2,
51-273_F20_4_W2_QBS,,2,QBS,W2,
51-273_F20_1_W2_QIS,,1,QIS,W2,
51-273_F20_2_W2_QIS,,2,QIS,W2,
51-273_F20_3_W2_QIS,,3,QIS,W2,
51-273_F20_4_W2_QIS,,1,QIS,W2,
51-273_F20_5_W2_QIS,,1,QIS,W2,
51-275_F20_2_W1_QBA,,4,QBA,W1,
51-275_F20_4_W1_QBA,,1,QBA,W1,
51-275_F20_2_W1_QBS,,1,QBS,W1,
51-275_F20_4_W1_QBS,,1,QBS,W1,
51-275_F20_1_W1_QCS,,1,QCS,W1,
51-275_F20_2_W1_QIS,,2,QIS,W1,
51-275_F20_3_W1_QIS,,2,QIS,W1,
51-275_F20_4_W1_QIS,,6,QIS,W1,
62-210_F20_2_W2_QBA,,3,QBA,W2,
62-210_F20_4_W2_QBA,,2,QBA,W2,
62-210_F20_2_W2_QBS,,2,QBS,W2,
62-210_F20_3_W2_QBS,,1,QBS,W2,
62-210_F20_4_W2_QBS,,1,QBS,W2,
62-210_F20_2_W2_QIS,,1,QIS,W2,
62-210_F20_3_W2_QIS,,2,QIS,W2,
62-210_F20_4_W2_QIS,,4,QIS,W2,
66-501_F20_4_W_QIS,,2,QIS,W,
66-501_F20_4_Y_QIS,,2,QIS,Y,
66-501_F20_4_Z_QIS,,1,QIS,Z,
67-102_F20_1_W_QIS,,30,QIS,W,
67-102_F20_2_W_QIS,,2,QIS,W,
67-212_F20_2_W_QCS,,1,QCS,W,
67-212_F20_3_W_QCS,,1,QCS,W,
67-212_F20_4_W_QCS,,4,QCS,W,
67-212_F20_2_W_QIS,,1,QIS,W,
67-212_F20_4_W_QIS,,1,QIS,W,
67-262_F20_3_W_QBA,,1,QBA,W,
67-262_F20_3_W_QBS,,1,QBS,W,
67-262_F20_3_W_QCS,,1,QCS,W,
67-262_F20_2_W_QIS,,13,QIS,W,
67-262_F20_3_W_QIS,,5,QIS,W,
67-262_F20_4_W_QIS,,1,QIS,W,
67-262_F20_2_X_HSS,,1,HSS,X,
67-262_F20_5_X_QBA,,1,QBA,X,
67-262_F20_3_X_QCS,,1,QCS,X,
67-262_F20_2_X_QIS,,8,QIS,X,
67-262_F20_3_X_QIS,,10,QIS,X,
67-262_F20_4_X_QIS,,1,QIS,X,
67-301_F20_4_W_QBA,,1,QBA,W,
67-301_F20_4_W_QCS,,1,QCS,W,
67-301_F20_3_W_QIS,,7,QIS,W,
67-301_F20_4_W_QIS,,6,QIS,W,
67-316_F20_3_W_QIS,,2,QIS,W,
67-316_F20_4_W_QIS,,2,QIS,W,
67-316_F20_5_W_QIS,,1,QIS,W,
67-329_F20_3_W_QBA,,2,QBA,W,
67-329_F20_4_W_QBA,,4,QBA,W,
67-329_F20_5_W_QBA,,1,QBA,W,
67-329_F20_3_W_QCS,,1,QCS,W,
67-329_F20_3_W_QIS,,11,QIS,W,
67-329_F20_4_W_QIS,,4,QIS,W,
67-352_F20_4_W_QCS,,1,QCS,W,
67-352_F20_2_W_QIS,,4,QIS,W,
67-352_F20_3_W_QIS,,4,QIS,W,
67-352_F20_4_W_QIS,,2,QIS,W,
67-352_F20_5_W_QIS,,1,QIS,W,
67-354_F20_4_W_QBA,,1,QBA,W,
67-354_F20_3_W_QCS,,1,QCS,W,
67-354_F20_2_W_QIS,,3,QIS,W,
67-354_F20_3_W_QIS,,6,QIS,W,
67-354_F20_4_W_QIS,,4,QIS,W,
67-357_F20_4_W_QCS,,2,QCS,W,
67-357_F20_3_W_QIS,,2,QIS,W,
67-357_F20_4_W_QIS,,1,QIS,W,
67-357_F20_5_W_QIS,,1,QIS,W,
67-364_F20_4_W_QBA,,1,QBA,W,
67-364_F20_3_W_QIS,,2,QIS,W,
67-364_F20_4_W_QIS,,8,QIS,W,
67-364_F20_4_W_STA,,1,STA,W,
67-390_F20_5_W_SDU,,1,SDU,W,
67-474_F20_4_W_QIS,,15,QIS,W,
67-474_F20_5_W_QIS,,2,QIS,W,
70-106_F20_1_W_QBA,,49,QBA,W,
70-106_F20_2_W_QIS,,1,QIS,W,
70-122_F20_1_W_QBA,,25,QBA,W,
70-122_F20_2_W_QCS,,1,QCS,W,
70-122_F20_3_W_QCS,,3,QCS,W,
70-122_F20_2_W_QIS,,1,QIS,W,
70-122_F20_3_W_QIS,,1,QIS,W,
70-122_F20_1_X_QBA,,21,QBA,X,
70-122_F20_2_X_QBA,,1,QBA,X,
70-122_F20_3_X_QBS,,1,QBS,X,
70-122_F20_3_X_QCS,,3,QCS,X,
70-122_F20_2_X_QIS,,2,QIS,X,
70-122_F20_3_X_QIS,,2,QIS,X,
70-122_F20_4_X_QIS,,1,QIS,X,
70-207_F20_2_W_QBA,,32,QBA,W,
70-207_F20_3_W_QCS,,1,QCS,W,
70-207_F20_2_W_QIS,,6,QIS,W,
70-207_F20_3_W_QIS,,2,QIS,W,
70-311_F20_2_W_HSS,,1,HSS,W,
70-311_F20_2_W_QBA,,2,QBA,W,
70-311_F20_3_W_QBA,,7,QBA,W,
70-311_F20_4_W_QBA,,5,QBA,W,
70-311_F20_4_W_QCS,,1,QCS,W,
70-311_F20_2_W_QIS,,13,QIS,W,
70-311_F20_3_W_QIS,,2,QIS,W,
70-311_F20_4_W_QIS,,1,QIS,W,
70-318_F20_3_W_QBA,,3,QBA,W,
70-318_F20_4_W_QBA,,11,QBA,W,
70-318_F20_4_W_QIS,,2,QIS,W,
70-332_F20_2_W_QBA,,1,QBA,W,
70-332_F20_3_W_QBA,,11,QBA,W,
70-332_F20_4_W_QBA,,13,QBA,W,
70-332_F20_5_W_QBA,,1,QBA,W,
70-340_F20_2_W_QBA,,16,QBA,W,
70-340_F20_2_W_QIS,,1,QIS,W,
70-340_F20_2_X_QBA,,17,QBA,X,
70-340_F20_4_X_QBA,,1,QBA,X,
70-371_F20_2_W_QBA,,1,QBA,W,
70-371_F20_3_W_QBA,,15,QBA,W,
70-371_F20_4_W_QBA,,5,QBA,W,
70-371_F20_5_W_QBA,,1,QBA,W,
70-371_F20_3_W_QCS,,2,QCS,W,
70-381_F20_2_W_QBA,,4,QBA,W,
70-381_F20_3_W_QBA,,8,QBA,W,
70-381_F20_4_W_QBA,,4,QBA,W,
70-381_F20_3_W_QBS,,1,QBS,W,
70-381_F20_3_W_QCS,,2,QCS,W,
70-381_F20_2_W_QIS,,2,QIS,W,
70-381_F20_0_W_SPC,,6,SPC,W,
70-391_F20_2_W_QBA,,2,QBA,W,
70-391_F20_3_W_QBA,,1,QBA,W,
70-391_F20_4_W_QBA,,1,QBA,W,
70-391_F20_3_W_QIS,,2,QIS,W,
70-395_F20_3_W_QBA,,6,QBA,W,
70-395_F20_4_W_QBA,,17,QBA,W,
70-395_F20_5_W_QBA,,5,QBA,W,
70-415_F20_3_W_QBA,,6,QBA,W,
70-415_F20_4_W_QBA,,6,QBA,W,
70-415_F20_5_W_QBA,,3,QBA,W,
70-415_F20_3_W_QCS,,2,QCS,W,
70-415_F20_3_W_QIS,,3,QIS,W,
70-415_F20_4_W_QIS,,7,QIS,W,
70-428_F20_2_W_QBA,,1,QBA,W,
70-428_F20_3_W_QBA,,1,QBA,W,
70-428_F20_4_W_QBA,,2,QBA,W,
70-428_F20_5_W_QBA,,1,QBA,W,
70-430_F20_3_W_QBA,,2,QBA,W,
70-430_F20_4_W_QBA,,5,QBA,W,
70-430_F20_5_W_QBA,,5,QBA,W,
70-430_F20_5_W_QBS,,1,QBS,W,
70-440_F20_3_W_QBA,,2,QBA,W,
70-440_F20_4_W_QBA,,9,QBA,W,
70-440_F20_5_W_QBA,,4,QBA,W,
70-455_F20_2_W_QBA,,2,QBA,W,
70-455_F20_3_W_QBA,,7,QBA,W,
70-455_F20_4_W_QBA,,3,QBA,W,
70-455_F20_3_W_QIS,,2,QIS,W,
70-460_F20_4_W_QBA,,8,QBA,W,
70-460_F20_4_W_QCS,,1,QCS,W,
70-478_F20_2_W1_QBA,,2,QBA,W1,
70-478_F20_4_W1_QBA,,2,QBA,W1,
70-478_F20_5_W1_QBA,,1,QBA,W1,
70-478_F20_2_W1_QBS,,1,QBS,W1,
70-478_F20_2_W1_QIS,,2,QIS,W1,
70-478_F20_4_W1_QIS,,1,QIS,W1,
70-481_F20_3_W_QBA,,3,QBA,W,
70-481_F20_4_W_QBA,,3,QBA,W,
70-481_F20_5_W_QBA,,1,QBA,W,
70-481_F20_4_W_QIS,,1,QIS,W,
70-495_F20_2_W_BA,,1,BA,W,
70-495_F20_3_W_QBA,,6,QBA,W,
70-495_F20_4_W_QBA,,5,QBA,W,
70-500_F20_4_W_QBA,,6,QBA,W,
73-103_F20_2_3_QBA,,27,QBA,3,
73-103_F20_3_3_QBA,,3,QBA,3,
73-103_F20_4_3_QBA,,1,QBA,3,
73-103_F20_4_3_QCS,,1,QCS,3,
73-103_F20_2_W_QBA,,15,QBA,W,
73-103_F20_4_W_QBA,,1,QBA,W,
73-103_F20_4_W_QCS,,1,QCS,W,
73-103_F20_2_X_QBA,,12,QBA,X,
73-103_F20_3_X_QBA,,3,QBA,X,
73-265_F20_3_W_QBA,,10,QBA,W,
73-265_F20_4_W_QBA,,4,QBA,W,
73-265_F20_3_W_QIS,,2,QIS,W,
73-348_F20_3_W_QBA,,5,QBA,W,
73-348_F20_4_W_QBA,,3,QBA,W,
76-100_F20_1_W_QBA,,11,QBA,W,
76-100_F20_1_W_QCS,,1,QCS,W,
76-100_F20_1_W_QIS,,6,QIS,W,
76-100_F20_1_WW_QBA,,1,QBA,WW,
76-100_F20_1_WW_QBS,,1,QBS,WW,
76-100_F20_1_WW_QCS,,6,QCS,WW,
76-100_F20_1_WW_QIS,,1,QIS,WW,
76-100_F20_1_WX_QBA,,12,QBA,WX,
76-100_F20_1_WX_QIS,,5,QIS,WX,
76-100_F20_1_WY_QBS,,6,QBS,WY,
76-100_F20_1_WY_QCS,,5,QCS,WY,
76-100_F20_1_WY_QIS,,2,QIS,WY,
76-100_F20_1_X_QBS,,5,QBS,X,
76-100_F20_3_X_QBS,,1,QBS,X,
76-100_F20_1_X_QCS,,5,QCS,X,
76-100_F20_1_X_QIS,,2,QIS,X,
76-100_F20_1_XX_QBA,,11,QBA,XX,
76-100_F20_1_XX_QIS,,6,QIS,XX,
76-100_F20_1_Y_QBA,,1,QBA,Y,
76-100_F20_1_Y_QBS,,3,QBS,Y,
76-100_F20_1_Y_QCS,,7,QCS,Y,
76-100_F20_1_Y_QIS,,2,QIS,Y,
76-100_F20_1_YY_QBA,,9,QBA,YY,
76-100_F20_1_YY_QBS,,1,QBS,YY,
76-100_F20_1_YY_QIS,,6,QIS,YY,
76-101_F20_1_W_QBA,,4,QBA,W,
76-101_F20_2_W_QBA,,1,QBA,W,
76-101_F20_1_W_QBS,,1,QBS,W,
76-101_F20_2_W_QBS,,2,QBS,W,
76-101_F20_1_W_QCS,,2,QCS,W,
76-101_F20_2_W_QCS,,1,QCS,W,
76-101_F20_3_W_QCS,,1,QCS,W,
76-270_F20_4_W_QBA,,2,QBA,W,
76-270_F20_5_W_QBA,,1,QBA,W,
76-270_F20_3_W_QCS,,3,QCS,W,
76-270_F20_4_W_QCS,,1,QCS,W,
76-270_F20_2_W_QIS,,1,QIS,W,
76-270_F20_3_W_QIS,,5,QIS,W,
76-270_F20_4_W_QIS,,1,QIS,W,
76-270_F20_5_W_QIS,,1,QIS,W,
76-270_F20_3_X_QCS,,2,QCS,X,
76-270_F20_2_X_QIS,,12,QIS,X,
76-270_F20_3_X_QIS,,2,QIS,X,
76-301_F20_5_W_QBA,,1,QBA,W,
76-305_F20_5_W_SDU,,1,SDU,W,
76-386_F20_3_W_QBA,,1,QBA,W,
76-386_F20_4_W_QBA,,3,QBA,W,
76-386_F20_2_W_QBS,,1,QBS,W,
76-386_F20_4_W_QIS,,2,QIS,W,
79-104_F20_1_W_QBA,,15,QBA,W,
79-104_F20_2_W_QBS,,1,QBS,W,
79-104_F20_1_W_QIS,,1,QIS,W,
79-104_F20_2_W_QIS,,3,QIS,W,
79-104_F20_3_W_QIS,,1,QIS,W,
79-104_F20_0_W_SPC,,1,SPC,W,
79-104_F20_1_X_QBA,,13,QBA,X,
79-104_F20_3_X_QBS,,1,QBS,X,
79-104_F20_2_X_QCS,,2,QCS,X,
79-104_F20_3_X_QCS,,2,QCS,X,
79-104_F20_1_X_QIS,,3,QIS,X,
79-104_F20_3_X_QIS,,1,QIS,X,
79-104_F20_0_X_SPC,,1,SPC,X,
79-104_F20_1_Y_QBA,,22,QBA,Y,
79-104_F20_2_Y_QIS,,2,QIS,Y,
79-237_F20_3_W_QBA,,1,QBA,W,
79-237_F20_4_W_QBA,,6,QBA,W,
79-237_F20_4_W_QBS,,2,QBS,W,
79-237_F20_3_W_QCS,,2,QCS,W,
79-237_F20_3_W_QIS,,3,QIS,W,
79-237_F20_4_W_QIS,,6,QIS,W,
79-491_F20_3_W_QCS,,1,QCS,W,
79-491_F20_5_W_SDU,,1,SDU,W,
79-491_F20_4_X_QBA,,1,QBA,X,
80-334_F20_2_W_QBA,,9,QBA,W,
80-334_F20_3_W_QBA,,2,QBA,W,
80-334_F20_4_W_QBA,,6,QBA,W,
80-334_F20_4_W_QBS,,2,QBS,W,
80-334_F20_3_W_QCS,,2,QCS,W,
80-334_F20_4_W_QCS,,2,QCS,W,
80-334_F20_2_W_QIS,,1,QIS,W,
80-334_F20_3_W_QIS,,4,QIS,W,
80-334_F20_4_W_QIS,,6,QIS,W,
80-334_F20_5_W_QIS,,1,QIS,W,
82-101_F20_4_W_QBA,,2,QBA,W,
82-101_F20_1_W_QBS,,1,QBS,W,
82-101_F20_2_W_QBS,,1,QBS,W,
82-101_F20_4_W_QCS,,1,QCS,W,
82-101_F20_2_W_QIS,,3,QIS,W,
82-101_F20_3_W_QIS,,5,QIS,W,
82-101_F20_0_W_SPC,,5,SPC,W,
82-102_F20_2_W_QCS,,1,QCS,W,
82-102_F20_3_W_QCS,,1,QCS,W,
82-102_F20_4_W_QIS,,1,QIS,W,
82-104_F20_4_W_QBA,,2,QBA,W,
82-104_F20_4_W_QBS,,1,QBS,W,
82-104_F20_2_W_QIS,,1,QIS,W,
82-104_F20_4_W_QIS,,1,QIS,W,
82-141_F20_4_W_QBA,,1,QBA,W,
82-141_F20_4_W_QBS,,1,QBS,W,
82-141_F20_4_W_QIS,,1,QIS,W,
82-141_F20_5_W_QIS,,1,QIS,W,
82-141_F20_0_W_SPC,,5,SPC,W,
82-141_F20_2_X_QBA,,1,QBA,X,
82-141_F20_4_X_QBA,,1,QBA,X,
82-141_F20_2_X_QBS,,1,QBS,X,
82-141_F20_4_X_QBS,,2,QBS,X,
82-141_F20_4_X_QIS,,1,QIS,X,
82-141_F20_0_X_SPC,,3,SPC,X,
82-142_F20_4_W_QBA,,1,QBA,W,
82-142_F20_2_W_QIS,,1,QIS,W,
82-287_F20_4_W1_QIS,,3,QIS,W1,
82-313_F20_2_W_QBA,,1,QBA,W,
82-313_F20_4_W_QBA,,4,QBA,W,
82-313_F20_3_W_QBS,,4,QBS,W,
82-313_F20_2_W_QIS,,2,QIS,W,
82-313_F20_3_W_QIS,,1,QIS,W,
82-313_F20_5_W_QIS,,1,QIS,W,
82-313_F20_0_W_SPC,,1,SPC,W,
82-314_F20_2_W_QBA,,1,QBA,W,
82-314_F20_4_W_QBA,,4,QBA,W,
82-314_F20_5_W_QBA,,1,QBA,W,
82-314_F20_3_W_QBS,,1,QBS,W,
