offering_id,semester,course_code,campus_id
99-353_S25_1,S25,99-353,1
99-353_F25_1,F25,99-353,1
70-460_F20_2,F20,70-460,2
70-460_F21_2,F21,70-460,2
70-460_F22_2,F22,70-460,2
70-460_F23_2,F23,70-460,2
70-460_S25_2,S25,70-460,2
70-460_F21_1,F21,70-460,1
70-460_F22_1,F22,70-460,1
70-460_F23_1,F23,70-460,1
70-460_F24_1,F24,70-460,1
70-460_F25_1,F25,70-460,1
76-298_F21_2,F21,76-298,2
76-332_S23_2,S23,76-332,2
76-332_F15_1,F15,76-332,1
98-095_S24_1,S24,98-095,1
73-469_F15_1,F15,73-469,1
73-469_F16_1,F16,73-469,1
73-469_F17_1,F17,73-469,1
73-469_F18_1,F18,73-469,1
79-189_F21_1,F21,79-189,1
79-189_S22_1,S22,79-189,1
79-189_F22_1,F22,79-189,1
79-189_F23_1,F23,79-189,1
79-189_F24_1,F24,79-189,1
03-252_S16_1,S16,03-252,1
03-252_S17_1,S17,03-252,1
98-328_S18_1,S18,98-328,1
85-352_S17_1,S17,85-352,1
85-352_S18_1,S18,85-352,1
85-352_S19_1,S19,85-352,1
79-234_F23_1,F23,79-234,1
79-234_S24_1,S24,79-234,1
79-234_F24_1,F24,79-234,1
79-234_S25_1,S25,79-234,1
79-234_F25_1,F25,79-234,1
82-050_F21_1,F21,82-050,1
82-050_F22_1,F22,82-050,1
82-050_F23_1,F23,82-050,1
82-050_F24_1,F24,82-050,1
82-050_F25_1,F25,82-050,1
98-282_S16_1,S16,98-282,1
84-352_S21_1,S21,84-352,1
84-352_S22_1,S22,84-352,1
84-352_S23_1,S23,84-352,1
84-352_S24_1,S24,84-352,1
84-352_S25_1,S25,84-352,1
76-430_F15_1,F15,76-430,1
76-430_S17_1,S17,76-430,1
82-115_S21_1,S21,82-115,1
82-115_M21_1,M21,82-115,1
82-115_S22_1,S22,82-115,1
82-115_M22_1,M22,82-115,1
82-115_M23_1,M23,82-115,1
36-462_S21_1,S21,36-462,1
36-462_S22_1,S22,36-462,1
36-462_S23_1,S23,36-462,1
36-462_S24_1,S24,36-462,1
36-462_S25_1,S25,36-462,1
66-181_S22_2,S22,66-181,2
66-181_S23_2,S23,66-181,2
76-349_S22_1,S22,76-349,1
80-235_F15_1,F15,80-235,1
76-467_S21_1,S21,76-467,1
05-310_F21_2,F21,05-310,2
21-269_S21_1,S21,21-269,1
21-269_S22_1,S22,21-269,1
21-269_S23_1,S23,21-269,1
21-269_S24_1,S24,21-269,1
21-269_S25_1,S25,21-269,1
03-442_F19_2,F19,03-442,2
03-442_F21_2,F21,03-442,2
03-442_S23_2,S23,03-442,2
03-442_S24_2,S24,03-442,2
03-442_S25_2,S25,03-442,2
03-442_F21_1,F21,03-442,1
03-442_F22_1,F22,03-442,1
03-442_F23_1,F23,03-442,1
03-442_F24_1,F24,03-442,1
03-442_F25_1,F25,03-442,1
79-263_F17_1,F17,79-263,1
70-335_S25_1,S25,70-335,1
67-355_S20_2,S20,67-355,2
69-101_F23_1,F23,69-101,1
69-101_S24_1,S24,69-101,1
69-101_F24_1,F24,69-101,1
69-101_S25_1,S25,69-101,1
69-101_F25_1,F25,69-101,1
82-512_S21_2,S21,82-512,2
82-512_S19_1,S19,82-512,1
82-512_S20_1,S20,82-512,1
82-512_S21_1,S21,82-512,1
82-512_S22_1,S22,82-512,1
82-512_S23_1,S23,82-512,1
98-390_F23_1,F23,98-390,1
98-390_S24_1,S24,98-390,1
98-390_F24_1,F24,98-390,1
82-142_S21_2,S21,82-142,2
82-142_S22_2,S22,82-142,2
82-142_S23_2,S23,82-142,2
82-142_S24_2,S24,82-142,2
82-142_S25_2,S25,82-142,2
82-142_F23_1,F23,82-142,1
82-142_S24_1,S24,82-142,1
82-142_F24_1,F24,82-142,1
82-142_S25_1,S25,82-142,1
82-142_F25_1,F25,82-142,1
76-488_F15_1,F15,76-488,1
76-488_S24_1,S24,76-488,1
76-488_S25_1,S25,76-488,1
70-509_S23_2,S23,70-509,2
70-509_F23_2,F23,70-509,2
70-509_S24_2,S24,70-509,2
70-509_F24_2,F24,70-509,2
70-509_S25_2,S25,70-509,2
70-509_F23_1,F23,70-509,1
70-509_S24_1,S24,70-509,1
70-509_F24_1,F24,70-509,1
70-509_S25_1,S25,70-509,1
70-509_F25_1,F25,70-509,1
66-139_S23_1,S23,66-139,1
66-139_F23_1,F23,66-139,1
66-139_S24_1,S24,66-139,1
51-281_F22_2,F22,51-281,2
98-056_S25_1,S25,98-056,1
67-343_F21_2,F21,67-343,2
98-369_S22_1,S22,98-369,1
98-369_F22_1,F22,98-369,1
98-369_S23_1,S23,98-369,1
98-369_F23_1,F23,98-369,1
98-369_F24_1,F24,98-369,1
79-275_S21_1,S21,79-275,1
79-275_S23_1,S23,79-275,1
79-275_S24_1,S24,79-275,1
79-275_S25_1,S25,79-275,1
79-275_F25_1,F25,79-275,1
76-471_S19_1,S19,76-471,1
76-471_S25_1,S25,76-471,1
15-121_F20_2,F20,15-121,2
15-121_F21_2,F21,15-121,2
15-121_F22_2,F22,15-121,2
15-121_F23_2,F23,15-121,2
15-121_F24_2,F24,15-121,2
15-121_F21_1,F21,15-121,1
15-121_F22_1,F22,15-121,1
15-121_F23_1,F23,15-121,1
15-121_F24_1,F24,15-121,1
15-121_F25_1,F25,15-121,1
33-114_S21_1,S21,33-114,1
33-114_S22_1,S22,33-114,1
33-114_S23_1,S23,33-114,1
33-114_S24_1,S24,33-114,1
33-114_S25_1,S25,33-114,1
79-330_F17_1,F17,79-330,1
79-330_F19_1,F19,79-330,1
79-330_F21_1,F21,79-330,1
79-330_F22_1,F22,79-330,1
79-330_F25_1,F25,79-330,1
95-564_M23_1,M23,95-564,1
95-564_M24_1,M24,95-564,1
95-564_M25_1,M25,95-564,1
98-386_S21_2,S21,98-386,2
03-511_F21_1,F21,03-511,1
03-511_F22_1,F22,03-511,1
03-511_F23_1,F23,03-511,1
03-511_F24_1,F24,03-511,1
03-511_F25_1,F25,03-511,1
18-540_S21_1,S21,18-540,1
18-540_S22_1,S22,18-540,1
18-540_S23_1,S23,18-540,1
18-540_S24_1,S24,18-540,1
18-540_S25_1,S25,18-540,1
82-292_S20_1,S20,82-292,1
82-292_S21_1,S21,82-292,1
82-292_S22_1,S22,82-292,1
82-292_S23_1,S23,82-292,1
82-292_S24_1,S24,82-292,1
98-040_S24_1,S24,98-040,1
98-040_F24_1,F24,98-040,1
98-040_S25_1,S25,98-040,1
98-040_F25_1,F25,98-040,1
99-410_F22_2,F22,99-410,2
99-410_F23_2,F23,99-410,2
99-410_S24_2,S24,99-410,2
99-410_F24_2,F24,99-410,2
99-410_S25_2,S25,99-410,2
99-410_F23_1,F23,99-410,1
99-410_S24_1,S24,99-410,1
99-410_F24_1,F24,99-410,1
99-410_S25_1,S25,99-410,1
99-410_F25_1,F25,99-410,1
76-308_F15_1,F15,76-308,1
76-308_S21_1,S21,76-308,1
76-426_S19_1,S19,76-426,1
21-228_F23_1,F23,21-228,1
21-228_S24_1,S24,21-228,1
21-228_F24_1,F24,21-228,1
21-228_S25_1,S25,21-228,1
21-228_F25_1,F25,21-228,1
98-294_F16_1,F16,98-294,1
98-294_S17_1,S17,98-294,1
98-294_F17_1,F17,98-294,1
79-222_S20_1,S20,79-222,1
69-140_F18_1,F18,69-140,1
69-140_F19_1,F19,69-140,1
69-140_F23_1,F23,69-140,1
69-140_F24_1,F24,69-140,1
69-140_F25_1,F25,69-140,1
70-374_S21_2,S21,70-374,2
70-374_S22_2,S22,70-374,2
70-374_S23_2,S23,70-374,2
70-374_S24_2,S24,70-374,2
70-374_S25_2,S25,70-374,2
70-374_S21_1,S21,70-374,1
70-374_S22_1,S22,70-374,1
70-374_S23_1,S23,70-374,1
70-374_S24_1,S24,70-374,1
70-374_S25_1,S25,70-374,1
69-005_F15_1,F15,69-005,1
82-103_S22_2,S22,82-103,2
82-103_F22_2,F22,82-103,2
82-103_S23_2,S23,82-103,2
82-103_F23_2,F23,82-103,2
82-103_S24_2,S24,82-103,2
82-103_M24_1,M24,82-103,1
82-103_F24_1,F24,82-103,1
82-103_S25_1,S25,82-103,1
82-103_M25_1,M25,82-103,1
82-103_F25_1,F25,82-103,1
03-116_S16_2,S16,03-116,2
03-116_S17_2,S17,03-116,2
03-116_S18_2,S18,03-116,2
03-116_S20_2,S20,03-116,2
03-116_S21_2,S21,03-116,2
03-116_S16_1,S16,03-116,1
03-116_S17_1,S17,03-116,1
03-116_S18_1,S18,03-116,1
79-367_S16_2,S16,79-367,2
79-367_F17_2,F17,79-367,2
79-367_F19_2,F19,79-367,2
79-367_F22_2,F22,79-367,2
79-367_F24_2,F24,79-367,2
17-313_F20_2,F20,17-313,2
17-313_F21_2,F21,17-313,2
17-313_F22_2,F22,17-313,2
17-313_F23_2,F23,17-313,2
17-313_F24_2,F24,17-313,2
17-313_F23_1,F23,17-313,1
17-313_S24_1,S24,17-313,1
17-313_F24_1,F24,17-313,1
17-313_S25_1,S25,17-313,1
17-313_F25_1,F25,17-313,1
98-152_S18_1,S18,98-152,1
88-230_F21_1,F21,88-230,1
88-230_F22_1,F22,88-230,1
88-230_F23_1,F23,88-230,1
88-230_F24_1,F24,88-230,1
88-230_F25_1,F25,88-230,1
09-225_F18_1,F18,09-225,1
09-225_F19_1,F19,09-225,1
09-225_F20_1,F20,09-225,1
09-225_F21_1,F21,09-225,1
09-225_F23_1,F23,09-225,1
98-502_F25_1,F25,98-502,1
82-380_F23_1,F23,82-380,1
73-404_F21_1,F21,73-404,1
73-404_S22_1,S22,73-404,1
73-404_M22_1,M22,73-404,1
73-404_F22_1,F22,73-404,1
73-404_M23_1,M23,73-404,1
99-152_S19_2,S19,99-152,2
99-152_F15_1,F15,99-152,1
99-152_F16_1,F16,99-152,1
99-152_S17_1,S17,99-152,1
80-223_F16_1,F16,80-223,1
80-223_F17_1,F17,80-223,1
98-017_F24_1,F24,98-017,1
19-425_S20_1,S20,19-425,1
19-425_S21_1,S21,19-425,1
19-425_S22_1,S22,19-425,1
19-425_S23_1,S23,19-425,1
19-425_S24_1,S24,19-425,1
98-060_F24_2,F24,98-060,2
99-430_S25_2,S25,99-430,2
99-430_F23_1,F23,99-430,1
99-430_S24_1,S24,99-430,1
99-430_F24_1,F24,99-430,1
99-430_S25_1,S25,99-430,1
99-430_F25_1,F25,99-430,1
76-282_S19_1,S19,76-282,1
76-282_F20_1,F20,76-282,1
76-282_F21_1,F21,76-282,1
76-282_F22_1,F22,76-282,1
76-328_S23_2,S23,76-328,2
76-328_S24_2,S24,76-328,2
76-328_F17_1,F17,76-328,1
80-254_F19_1,F19,80-254,1
80-254_S21_1,S21,80-254,1
80-254_S25_1,S25,80-254,1
15-382_S18_2,S18,15-382,2
15-382_S19_2,S19,15-382,2
80-311_S21_1,S21,80-311,1
80-311_S22_1,S22,80-311,1
80-311_S23_1,S23,80-311,1
80-311_S24_1,S24,80-311,1
80-311_S25_1,S25,80-311,1
51-258_S21_2,S21,51-258,2
70-495_F20_2,F20,70-495,2
70-495_F21_2,F21,70-495,2
70-495_F22_2,F22,70-495,2
70-495_F23_2,F23,70-495,2
70-495_S25_2,S25,70-495,2
70-495_S21_1,S21,70-495,1
70-495_S22_1,S22,70-495,1
70-495_S23_1,S23,70-495,1
70-495_S24_1,S24,70-495,1
70-495_S25_1,S25,70-495,1
03-161_S21_1,S21,03-161,1
03-161_S22_1,S22,03-161,1
03-161_S23_1,S23,03-161,1
03-161_S24_1,S24,03-161,1
03-161_S25_1,S25,03-161,1
79-310_F15_1,F15,79-310,1
79-310_F16_1,F16,79-310,1
79-310_F17_1,F17,79-310,1
79-310_F20_1,F20,79-310,1
70-246_S24_2,S24,70-246,2
70-246_F23_1,F23,70-246,1
70-246_S24_1,S24,70-246,1
70-246_F24_1,F24,70-246,1
70-246_S25_1,S25,70-246,1
70-246_F25_1,F25,70-246,1
69-137_F15_1,F15,69-137,1
69-137_F16_1,F16,69-137,1
69-137_F17_1,F17,69-137,1
98-349_F19_1,F19,98-349,1
98-349_S23_1,S23,98-349,1
79-255_S17_1,S17,79-255,1
79-255_S20_1,S20,79-255,1
79-255_S21_1,S21,79-255,1
79-255_S24_1,S24,79-255,1
79-255_F24_1,F24,79-255,1
95-401_F22_2,F22,95-401,2
99-349_S19_1,S19,99-349,1
15-414_S22_1,S22,15-414,1
15-414_S23_1,S23,15-414,1
15-414_S24_1,S24,15-414,1
15-414_S25_1,S25,15-414,1
15-414_F25_1,F25,15-414,1
76-451_S17_1,S17,76-451,1
98-037_F23_2,F23,98-037,2
17-333_F21_1,F21,17-333,1
17-333_F22_1,F22,17-333,1
17-333_F23_1,F23,17-333,1
17-333_F24_1,F24,17-333,1
17-333_F25_1,F25,17-333,1
98-172_F20_2,F20,98-172,2
98-172_S24_1,S24,98-172,1
76-390_F16_2,F16,76-390,2
76-390_F18_2,F18,76-390,2
76-390_F19_2,F19,76-390,2
76-390_S22_2,S22,76-390,2
76-390_F23_2,F23,76-390,2
76-390_F23_1,F23,76-390,1
76-390_S24_1,S24,76-390,1
76-390_F24_1,F24,76-390,1
76-390_S25_1,S25,76-390,1
76-390_F25_1,F25,76-390,1
85-221_F20_2,F20,85-221,2
85-221_F21_2,F21,85-221,2
85-221_F22_2,F22,85-221,2
85-221_F23_2,F23,85-221,2
85-221_F24_2,F24,85-221,2
85-221_S23_1,S23,85-221,1
85-221_F23_1,F23,85-221,1
85-221_S24_1,S24,85-221,1
85-221_F24_1,F24,85-221,1
85-221_S25_1,S25,85-221,1
82-436_F17_1,F17,82-436,1
82-436_S22_1,S22,82-436,1
82-436_F23_1,F23,82-436,1
79-202_S18_1,S18,79-202,1
79-202_S19_1,S19,79-202,1
79-202_S20_1,S20,79-202,1
79-202_S22_1,S22,79-202,1
79-202_S24_1,S24,79-202,1
69-160_F21_1,F21,69-160,1
69-160_F22_1,F22,69-160,1
69-160_F23_1,F23,69-160,1
69-160_F24_1,F24,69-160,1
69-160_F25_1,F25,69-160,1
85-364_S24_2,S24,85-364,2
85-364_S25_2,S25,85-364,2
70-354_F21_1,F21,70-354,1
70-354_F22_1,F22,70-354,1
70-354_F23_1,F23,70-354,1
70-354_S25_1,S25,70-354,1
70-354_F25_1,F25,70-354,1
98-021_F22_2,F22,98-021,2
76-369_S16_1,S16,76-369,1
76-369_S18_1,S18,76-369,1
76-369_S24_1,S24,76-369,1
76-386_F15_2,F15,76-386,2
76-386_F16_2,F16,76-386,2
76-386_F18_2,F18,76-386,2
76-386_F20_2,F20,76-386,2
76-386_F23_2,F23,76-386,2
76-386_F15_1,F15,76-386,1
76-386_F16_1,F16,76-386,1
76-386_F17_1,F17,76-386,1
51-219_F21_2,F21,51-219,2
03-120_S20_2,S20,03-120,2
03-120_F20_2,F20,03-120,2
03-120_S21_2,S21,03-120,2
03-120_F24_2,F24,03-120,2
03-120_F21_1,F21,03-120,1
03-120_S22_1,S22,03-120,1
03-120_F23_1,F23,03-120,1
03-120_F24_1,F24,03-120,1
03-120_F25_1,F25,03-120,1
70-207_F21_2,F21,70-207,2
70-207_S22_2,S22,70-207,2
70-207_S23_2,S23,70-207,2
70-207_S24_2,S24,70-207,2
70-207_F24_2,F24,70-207,2
70-207_F23_1,F23,70-207,1
70-207_S24_1,S24,70-207,1
70-207_F24_1,F24,70-207,1
70-207_S25_1,S25,70-207,1
70-207_F25_1,F25,70-207,1
69-199_S19_1,S19,69-199,1
69-199_S20_1,S20,69-199,1
70-342_S17_2,S17,70-342,2
70-342_S20_2,S20,70-342,2
70-342_S22_2,S22,70-342,2
70-342_F23_2,F23,70-342,2
70-342_S25_2,S25,70-342,2
70-342_S22_1,S22,70-342,1
70-342_F22_1,F22,70-342,1
70-342_F23_1,F23,70-342,1
70-342_F24_1,F24,70-342,1
70-342_F25_1,F25,70-342,1
98-308_S17_1,S17,98-308,1
98-308_F17_1,F17,98-308,1
98-308_S18_1,S18,98-308,1
98-308_S19_1,S19,98-308,1
69-176_S18_1,S18,69-176,1
69-176_F18_1,F18,69-176,1
69-176_S19_1,S19,69-176,1
69-176_F19_1,F19,69-176,1
69-176_S20_1,S20,69-176,1
03-435_S17_2,S17,03-435,2
03-435_F18_2,F18,03-435,2
03-435_F20_2,F20,03-435,2
03-435_F22_2,F22,03-435,2
03-435_F24_2,F24,03-435,2
03-435_F21_1,F21,03-435,1
03-435_S23_1,S23,03-435,1
03-435_S24_1,S24,03-435,1
03-435_S25_1,S25,03-435,1
03-435_F25_1,F25,03-435,1
48-241_S21_1,S21,48-241,1
48-241_S22_1,S22,48-241,1
48-241_S23_1,S23,48-241,1
48-241_S24_1,S24,48-241,1
48-241_S25_1,S25,48-241,1
76-410_F15_1,F15,76-410,1
76-410_F16_1,F16,76-410,1
76-410_S23_1,S23,76-410,1
15-455_S20_2,S20,15-455,2
15-455_S21_2,S21,15-455,2
15-455_S22_2,S22,15-455,2
15-455_S23_2,S23,15-455,2
15-455_F24_2,F24,15-455,2
15-455_S21_1,S21,15-455,1
15-455_S22_1,S22,15-455,1
15-455_S23_1,S23,15-455,1
15-455_S24_1,S24,15-455,1
15-455_S25_1,S25,15-455,1
80-242_F15_2,F15,80-242,2
80-242_S17_2,S17,80-242,2
80-242_S18_2,S18,80-242,2
80-242_S19_2,S19,80-242,2
62-212_S21_2,S21,62-212,2
76-294_F16_2,F16,76-294,2
76-294_S18_2,S18,76-294,2
76-294_F19_2,F19,76-294,2
76-294_F15_1,F15,76-294,1
76-294_F16_1,F16,76-294,1
76-294_F17_1,F17,76-294,1
76-294_F18_1,F18,76-294,1
48-095_F21_1,F21,48-095,1
48-095_F22_1,F22,48-095,1
48-095_F23_1,F23,48-095,1
48-095_F24_1,F24,48-095,1
48-095_F25_1,F25,48-095,1
98-076_F24_1,F24,98-076,1
98-076_S25_1,S25,98-076,1
19-433_F20_1,F20,19-433,1
19-433_S22_1,S22,19-433,1
19-433_S23_1,S23,19-433,1
19-433_S24_1,S24,19-433,1
19-433_S25_1,S25,19-433,1
98-133_S24_1,S24,98-133,1
98-133_F24_1,F24,98-133,1
98-133_F25_1,F25,98-133,1
88-251_F21_1,F21,88-251,1
88-251_F22_1,F22,88-251,1
88-251_F23_1,F23,88-251,1
88-251_F24_1,F24,88-251,1
88-251_F25_1,F25,88-251,1
70-483_F18_2,F18,70-483,2
70-483_F21_1,F21,70-483,1
70-483_F22_1,F22,70-483,1
70-483_F23_1,F23,70-483,1
70-483_F24_1,F24,70-483,1
70-483_F25_1,F25,70-483,1
98-099_F23_1,F23,98-099,1
73-465_S17_1,S17,73-465,1
73-465_S18_1,S18,73-465,1
33-122_M21_2,M21,33-122,2
33-122_S22_2,S22,33-122,2
33-122_S23_2,S23,33-122,2
33-122_S24_2,S24,33-122,2
33-122_S25_2,S25,33-122,2
33-122_F23_1,F23,33-122,1
33-122_S24_1,S24,33-122,1
33-122_F24_1,F24,33-122,1
33-122_S25_1,S25,33-122,1
33-122_F25_1,F25,33-122,1
12-215_F20_1,F20,12-215,1
12-215_F21_1,F21,12-215,1
12-215_F22_1,F22,12-215,1
12-215_F23_1,F23,12-215,1
12-215_F24_1,F24,12-215,1
76-447_S25_1,S25,76-447,1
84-325_S21_1,S21,84-325,1
84-325_S22_1,S22,84-325,1
84-325_S23_1,S23,84-325,1
84-325_S24_1,S24,84-325,1
84-325_S25_1,S25,84-325,1
76-345_S25_2,S25,76-345,2
76-345_S18_1,S18,76-345,1
15-300_F16_1,F16,15-300,1
15-300_F17_1,F17,15-300,1
15-300_F18_1,F18,15-300,1
15-300_F19_1,F19,15-300,1
15-300_F20_1,F20,15-300,1
70-417_S19_2,S19,70-417,2
70-417_S20_2,S20,70-417,2
70-417_S22_2,S22,70-417,2
70-417_S23_2,S23,70-417,2
70-417_M24_2,M24,70-417,2
80-110_S16_1,S16,80-110,1
80-110_M16_1,M16,80-110,1
80-110_S17_1,S17,80-110,1
80-110_M17_1,M17,80-110,1
09-403_M22_1,M22,09-403,1
09-403_F22_1,F22,09-403,1
09-403_F23_1,F23,09-403,1
09-403_F24_1,F24,09-403,1
09-403_F25_1,F25,09-403,1
79-392_S21_2,S21,79-392,2
79-392_F23_2,F23,79-392,2
79-392_M16_1,M16,79-392,1
79-392_F18_1,F18,79-392,1
98-324_S18_1,S18,98-324,1
98-324_F18_1,F18,98-324,1
98-324_S19_1,S19,98-324,1
